course_id,course_number,professor,total_students,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,A_count,B_count,C_count,D_count,F_count,avg_gpa
CS 425,425,"Antoy, Sergio",108,19,14,8,10,12,8,5,7,15,0,6,1,3,41,30,27,7,3,2.869
CS 425,425,"Ariola, Zena",204,8,24,22,30,38,16,11,23,13,0,4,2,13,54,84,47,6,13,2.767
CS 429,429,"Flores, Juan Jose",34,2,12,7,5,6,0,1,1,0,0,0,0,0,21,11,2,0,0,3.55
CS 431,431,"Choi, Jee Whan",15,0,2,2,1,3,3,0,2,0,0,0,0,2,4,7,2,0,2,2.653
CS 432,432,"Durairajan, Ramakrishnan",23,1,2,4,2,3,2,2,3,0,0,0,0,4,7,7,5,0,4,2.539
CS 432,432,"Li, Jun",35,0,3,10,5,5,3,5,2,0,1,0,1,0,13,13,7,2,0,3.031
CS 432,432,"Rejaie, Reza",20,0,1,0,1,1,4,1,2,3,1,1,1,4,1,6,6,3,4,1.775
CS 433,433,"Li, Jun",90,2,23,32,21,9,2,0,1,0,0,0,0,0,57,32,1,0,0,3.579
CS 433,433,"Li, Yingjiu",19,0,5,11,1,0,2,0,0,0,0,0,0,0,16,3,0,0,0,3.653
CS 436,436,"Li, Yingjiu",31,1,5,7,6,3,4,1,2,2,0,0,0,0,13,13,5,0,0,3.2
CS 441,441,"Childs, Henry Roberts",43,8,22,2,3,4,0,0,0,2,0,1,0,1,32,7,2,1,1,3.574
CS 443,443,"Hornof, Anthony J",42,1,8,8,6,6,4,3,3,0,0,2,0,1,17,16,6,2,1,3.074
CS 445,445,"Erickson, Brittany Angela",20,2,4,1,2,0,2,3,2,0,0,0,0,4,7,4,5,0,4,2.53
CS 451,451,"Gupta, Suyash",21,0,1,3,4,3,2,6,0,0,0,1,0,1,4,9,6,1,1,2.738
CS 451,451,"Wilson, Christopher",88,5,49,6,7,14,5,1,0,0,0,1,0,0,60,26,1,1,0,3.638
CS 453,453,"Wang, Yu",21,2,14,5,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,3.929
CS 471,471,"Nguyen, Thanh Hong",98,0,25,27,16,17,7,5,0,0,1,0,0,0,52,40,5,1,0,3.422
CS 472,472,"Nguyen, Thien Huu",83,10,11,19,14,17,4,3,2,0,0,0,0,3,40,35,5,0,3,3.292
CS 472,472,"Shi, Honghui",27,8,10,2,1,2,1,1,0,0,0,0,0,2,20,4,1,0,2,3.47
